serverId,user1,user2,user3,user4,rsType,timeStamp,queue
ff3b36757ea8b5e6,601b6d8c4e1f0d63,27a6430a7f7b62f3,00dccda3133736b3,"",11.5,1713027129,0
ff3b36757ea8b5e6,601b6d8c4e1f0d63,00dccda3133736b3,3b169e7b58504016,"",11.5,1713027813,0
ff3b36757ea8b5e6,691ff9b8c436a373,00dccda3133736b3,98ec57408529c0de,"",11.5,1713029645,0
e8d9342910654a8e,d40a75635b2a1c67,8dc0a5cf66847fea,1ffd271f9bc513d7,"",9.5,1713030499,0
ff3b36757ea8b5e6,061c74373b6f7125,bc4ca771d95c6473,47f2a3d283f41061,"",11.5,1713032111,0
ff3b36757ea8b5e6,691ff9b8c436a373,061c74373b6f7125,47f2a3d283f41061,"",11.5,1713033052,0
ff3b36757ea8b5e6,061c74373b6f7125,47f2a3d283f41061,3b169e7b58504016,"",11.5,1713033971,0
ff3b36757ea8b5e6,061c74373b6f7125,47f2a3d283f41061,27a6430a7f7b62f3,"",11.5,1713034803,0
ff3b36757ea8b5e6,061c74373b6f7125,11de803b6629a3c5,27a6430a7f7b62f3,"",11.5,1713035651,0
ff3b36757ea8b5e6,551c6a3a81d5eb56,bc4ca771d95c6473,601b6d8c4e1f0d63,"",11.5,1713036272,0
ff3b36757ea8b5e6,061c74373b6f7125,11de803b6629a3c5,551c6a3a81d5eb56,"",11.5,1713037102,0
ff3b36757ea8b5e6,061c74373b6f7125,cacad6a25391ef0b,551c6a3a81d5eb56,"",11.5,1713038311,0
ff3b36757ea8b5e6,81c70692ac7c5fdb,11de803b6629a3c5,cacad6a25391ef0b,"",9.5,1713038512,0
ff3b36757ea8b5e6,47f2a3d283f41061,369365f41f733cf3,27a6430a7f7b62f3,"",11.5,1713038952,0
ff3b36757ea8b5e6,dd88ece1afdff4fb,061c74373b6f7125,bc4ca771d95c6473,"",9.5,1713039711,0
ff3b36757ea8b5e6,81c70692ac7c5fdb,cacad6a25391ef0b,bc4ca771d95c6473,"",11.5,1713041454,0
e8d9342910654a8e,8dc0a5cf66847fea,09d0d4d10673b99c,"","",7.5,1713042144,0
ff3b36757ea8b5e6,11de803b6629a3c5,9b46dfd07b46e58f,cacad6a25391ef0b,"",11.5,1713042149,0
ff3b36757ea8b5e6,4c4d5c01c43904a7,d545068c03a69e3f,551c6a3a81d5eb56,"",11.5,1713042536,0
ff3b36757ea8b5e6,820d0ab06c6133e3,cacad6a25391ef0b,81c70692ac7c5fdb,"",11.5,1713043260,0
ff3b36757ea8b5e6,4c4d5c01c43904a7,d545068c03a69e3f,061c74373b6f7125,"",11.5,1713043933,0
e8d9342910654a8e,1ffd271f9bc513d7,8dc0a5cf66847fea,"","",10.5,1713043972,0
ff3b36757ea8b5e6,061c74373b6f7125,d545068c03a69e3f,4c4d5c01c43904a7,"",11.5,1713044828,0
ff3b36757ea8b5e6,d545068c03a69e3f,061c74373b6f7125,cacad6a25391ef0b,"",11.5,1713045801,0
ff3b36757ea8b5e6,68502e1aaa270508,691ff9b8c436a373,7853721533795359,"",9.5,1713045922,0
ff3b36757ea8b5e6,061c74373b6f7125,cacad6a25391ef0b,d545068c03a69e3f,"",11.5,1713046161,0
e8d9342910654a8e,6a971998e58aaed1,8dc0a5cf66847fea,1ffd271f9bc513d7,"",9.5,1713046427,0
e8d9342910654a8e,09d0d4d10673b99c,"","","",7.5,1713047030,0
ff3b36757ea8b5e6,cacad6a25391ef0b,061c74373b6f7125,691ff9b8c436a373,"",11.5,1713047033,0
ff3b36757ea8b5e6,691ff9b8c436a373,cacad6a25391ef0b,061c74373b6f7125,"",11.5,1713047933,0
ff3b36757ea8b5e6,691ff9b8c436a373,061c74373b6f7125,cacad6a25391ef0b,"",11.5,1713048658,0
ff3b36757ea8b5e6,380f8bf4ebac7482,691ff9b8c436a373,061c74373b6f7125,"",11.5,1713049419,0
ff3b36757ea8b5e6,691ff9b8c436a373,cacad6a25391ef0b,bc4ca771d95c6473,"",11.5,1713050124,0
ff3b36757ea8b5e6,691ff9b8c436a373,061c74373b6f7125,81c70692ac7c5fdb,"",11.5,1713051313,0
ff3b36757ea8b5e6,81c70692ac7c5fdb,691ff9b8c436a373,9b46dfd07b46e58f,"",11.5,1713051968,0
ff3b36757ea8b5e6,061c74373b6f7125,691ff9b8c436a373,9b46dfd07b46e58f,"",11.5,1713052762,0
ff3b36757ea8b5e6,00dccda3133736b3,691ff9b8c436a373,061c74373b6f7125,"",11.5,1713053635,0
ff3b36757ea8b5e6,47f2a3d283f41061,23dd952c9c45a7ac,a979ba1f2f91724d,"",9.5,1713053983,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,691ff9b8c436a373,061c74373b6f7125,"",11.5,1713054285,0
ff3b36757ea8b5e6,00dccda3133736b3,380f8bf4ebac7482,061c74373b6f7125,"",11.5,1713054928,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,691ff9b8c436a373,4c4d5c01c43904a7,"",11.5,1713055267,0
ff3b36757ea8b5e6,23dd952c9c45a7ac,a979ba1f2f91724d,2003878bd1086217,"",9.5,1713055776,0
ff3b36757ea8b5e6,061c74373b6f7125,4c4d5c01c43904a7,00dccda3133736b3,"",11.5,1713056005,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,380f8bf4ebac7482,00dccda3133736b3,"",11.5,1713056677,0
ff3b36757ea8b5e6,691ff9b8c436a373,9b46dfd07b46e58f,061c74373b6f7125,"",11.5,1713059293,0
ff3b36757ea8b5e6,cd589696fbebfae6,551c6a3a81d5eb56,3b169e7b58504016,"",9.5,1713060870,0
ff3b36757ea8b5e6,00dccda3133736b3,061c74373b6f7125,cd589696fbebfae6,"",11.5,1713062361,0
e8d9342910654a8e,09d0d4d10673b99c,1ffd271f9bc513d7,"","",7.5,1713064567,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,691ff9b8c436a373,169401abecc89bb8,"",11.5,1713066084,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,169401abecc89bb8,00dccda3133736b3,"",11.5,1713067611,0
