CorporationId,bonusEnd,percent
00af6c9318ddf16a1bb684310776fee9681a22f01c1649941b799556a0bb6fb6,1757485091,28
245570bf3017ea0f1817668a227abc12ee58025af3539a77e59b0bc0bbd1be10,1757483288,26
6b4681e994e78199b26297184be90aaf1928c04f6323f02fc316d25729e121e6,1757482324,44
edd3ac94ea8ee1cf441e904ff29c48c21fa5db83af6eb5a6e83ae236b3872b22,1757475176,38
77270275648d2f188dea5d234a7428073a451ef4bc3cbd1b274a1d65e5f67c68,1757473073,48
14dfb83015e3c431e3b62aa4d0a6966657e5a34996e34d185efb92f703eda337,1757458655,36
8c9069f3ec3e766d51d76851b0d21a0fb065a026e597cfebc7d8cc8cbf2b998f,1757458354,42
6894d5efb7b658b31de079cb2e732d920d4a9c0be391dc9f063e62e22ac51dac,1757456552,32
582e7dce954da49eb68cdf263806d5b8f37da4c81a6eef072e63102be0fa5449,1757451445,46
c2982821577254a4ce2d996f53a2391f6f059ff79bbb14c29f9463269b4beebf,1757436635,38
0ab98cd1f1b195397b27360ea0dee2527f1504c9f5d4867e719d6f1f73efb01d,1757435517,54
9e0cb5f9ee7451cf8b55ed7f18717a42c7b58995a2717b83f6f98b7872b38e3f,1757432812,48
6b976a5cc4450c6b5c8a52b762982560b6d5551146a01c0b659deb8eb5043359,1757427854,30
a61dc2c639a91f5b725d43d306ba2eebe1770c92499d7d92086b7a097f939c0d,1757427402,36
48a0b2c0f203025d10d1217dbcc5e27f3e31f56f2c407d61219c24ec88446be7,1757427101,38
6e49e458a0b4d8e84bbe31cfc515a393f22b447c43b01047d795455900618574,1757424997,28
0a3e9116062accf6fa5ec0e70eab7592dbea2a9f061e6cc49e74bc78f74d0711,1757423494,40
e80002cbc38034342376acee2274117d3b6150fce2d47bbd1dbf75cd06d8e258,1757421090,44
87eff6e453b6f020baf8cb8930236b566161e22814cdbdc77d696c5812684bc6,1757415982,38
4f115f758a9b28f62e6272f0443baa7e7aaf16801e50275361463f9760a16339,1757412976,30
918db816bc1bb29c5cb1854a5a67b1b240f8835af6f1e584db7fb7070884e346,1757411775,36
b7fa1d6ba9752f3526daf60acb3f70f9daaf33a9e81bb5d9c78015c805b74ef4,1757401860,32
c9ffc70c2dcbfe9eaa3387645d404d9227b173de066bf09e0493d83aa4c9f053,1757393447,38
86a894b97d55e4f65a3cec65d26d528341d8e70b186bcffa2e89f5f681e48396,1757383834,46
f1c390fb4786da2cb59b7b39519a0ecf6022d4ba017d407af5286aa056682aff,1757369114,36
a62e0c19a9f2c6c172eaf34ce61be29e3e248e7cf2c0cbfe93bcb2f03a7501da,1757363406,42
4e8d4cb194326b25a28e388b58632db164a368d6dc7ed5a8f4cfcab7a54c239c,1757362804,48
a075d54242806374b2fc020c48e0e4ab4077ac72faeeae7568400e0e48790289,1757362504,52
5563c95f687e98cc5e151634915ffa5e0f4bb39709901c5acc52e34094f19409,1757360400,28
1a156e07acaab026bac031e9dcd275d128fa8c26bca53b12a6f16046075c5536,1757357094,32
39833a864277b04f9bad126a54a03bfa2c9f9473d3e504b3579cbdc18a4d7e75,1757352888,40
8f0d25fe4c802f32f4d3d4ad1a84583c5ae98e4a788a1fa260ef9bd70268818b,1757348379,30
5e1e520f8c04bfa18e2f0bdad432fd5788b965dbcbd47d9f351c3d3074aca34d,1757345073,32
ea5fb17c8fcf67a15bd5a194549206adba2279a79973a34bcfd0abb1e3cf9107,1757343871,56
82f142db6c5d19268a598fa5dc5b7ccf0554422791925a821cd5b839718cf0e6,1757339362,28
b698cd0d86be60954a4b995f79fffe102a71c350e47fbdc2a5827f0ed0ca455d,1757336657,54
068cec010bfee0723895562d4bf580b93628758a762b6918d384fef632d281ab,1757335154,48
db02701745537e2b055f660e59bd465567c4e4b322c16ade37245ed4a40699c8,1757330947,30
99c45cb17fdcbf89bf806b294ebe42a042ff774e913c216800fb7b1435d255a1,1757312019,32
ddf212167e61a225a1554a76a8956a044f72afa9eb2fd239661f8740ba008f92,1757309315,28
d026d8709834bc63f871c9bad372f834210c3efaa3826f53984199523d2ed9ed,1757306310,40
5772c612f584faa0a1fcb0a9a96f08ee4ebba1f4cc1105d95634c651bddf54bf,1757306310,36
910b93255c2b748443e55624583e16ee14d84a577cd7b8e3127f0d1fcb363fbb,1757295495,36
ca5552c1a800772ddb6671c92cdaed340e0dcac55d22809ed72c1ead2a701c2d,1757282278,36
430376e86f786afe6d4201e70b5fd09f2cdd41ca6d81ee693737e3361c06a1f4,1757267855,52
107aa372f22d23bb567b3a7fefd3442d93a2984204d7189bbb0fed1ee976ede2,1757267855,44
4eeaf112dd9983e997c8c9ec43e562763a8cd4a95f268b4bfeee5e39934f01de,1757266052,50
f5825bb96dc9d061496fcea5926a16ba159a26ccd5518f8e63583c52fb68dd29,1757265451,48
ce3450a529768e932b3aeb4c6f39b9295e6e07d010b209d0120c0125799adc43,1757263949,38
28f06b2ed8c2d55fe437095ed09cf6559986f0bb3ea5ff99509341b5dbf04d65,1757262146,50
41cdba59897d5e01412601b648c1a692368d92c198123f9ab442f2a23464b375,1757261245,50
c7836cb5499149d8631d0f49b7e91f08f0cf47c3bd10a9492ad6a3f7c25d7eab,1757255534,48
312c90cac9a249b2179da8891f78c1a90bd16d0bf3391509d6a3d8e9a35a3d36,1757251327,42
216c1ab0bb2cbf918019c0a38a37820a9d5d78d7c5801983ed6e3b17bebdc5f3,1757249825,40
d4075195191cabef801494d3accc0e6cc8c09f534fd9203f6e43c9930acffa56,1757246819,46
f1e7f82e284c8233985039ea19544dbfa937f38f2315e9ad6a1d037423071b6d,1757244715,36
5d09edd698e4bd37f80fdeb19605360b985df7035b132f7cf4749dd1390098a9,1757243324,38
2b852290b8f1d765b15529c7bac7b9b7eacc3ca4f427cbed0a24b2ddfde359e6,1757242312,34
a8f3bbc084fca4434869893ccbfca6c52960e64ee5db87ef257d706194a2f596,1757242011,46
c23ec9ebc110eb3dd1c56d100e206f8e421ad61de0748f4c6229e6297d736b4c,1757231922,28
e7374c31c95ba96f5c59c7c1de632517dd4cec2d4680e25e7f34d077133e4d4f,1757230725,46
5e4b3d6d6f08dee95abbb170211af935c564afdbc3039ee0a6f333070688724e,1757225788,28
7d28fa95e1d2f344dc6cca0d3283c64b829b79b2afb7e3df8faaaa22ce5a1bf9,1757223685,42
128149aefc384d482d0f002d83f9c9a08c89dec768584030fc4585ea50d2f774,1757222183,42
3df061e37044f80f90566ba046b4e65cf8aaa94927d03f0a134b25de37300899,1757218277,32
ce01702934684c7c912cca080e785332f51d3f626308b9fb6cb6ed48aa7f042c,1757217076,32
2aeceaa4796794f014cd422b48bad9f5627e35a758de0255216a519db709ce81,1757214973,50
53a1ca8088f875a7b4ba2199b1059595e3034594188eb4717bc045a64e1dcdd2,1757213771,36
6f715653bec3925d9c3acd7c2388fe8e1c79332146894ed424f57bd2636de8c7,1757196349,38
f179acb7b919d9d3185f1fcd66bb17d5e257feab5039bcbf6efb5c8cd6f5c057,1757191542,38
3a4286c6f512d1e0b6d9866b1a1bb0f29abc36fd4a82b7b2cb39df192fce125d,1757190039,56
